table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,00_Open_Work,1,source,text,YES,NULL
public,00_Open_Work,2,status,text,YES,NULL
public,00_Open_Work,3,item_count,integer,YES,NULL
public,analytics_agent_growth_opportunities,1,opportunity_type,text,YES,NULL
public,analytics_agent_growth_opportunities,2,destination_id,uuid,YES,NULL
public,analytics_agent_growth_opportunities,3,route_id,uuid,YES,NULL
public,analytics_agent_growth_opportunities,4,state_id,integer,YES,NULL
public,analytics_agent_growth_opportunities,5,event_date,date,YES,NULL
public,analytics_agent_growth_opportunities,6,signal_count,bigint,YES,NULL
public,analytics_agent_growth_opportunities,7,context,jsonb,YES,NULL
public,analytics_agent_restaurant_summary,1,destination_id,uuid,YES,NULL
public,analytics_agent_restaurant_summary,2,destination_name,text,YES,NULL
public,analytics_agent_restaurant_summary,3,city,text,YES,NULL
public,analytics_agent_restaurant_summary,4,state_id,integer,YES,NULL
public,analytics_agent_restaurant_summary,5,rating_count,bigint,YES,NULL
public,analytics_agent_restaurant_summary,6,avg_weight_score,numeric,YES,NULL
public,analytics_agent_restaurant_summary,7,avg_overall,numeric,YES,NULL
public,analytics_agent_restaurant_summary,8,last_rated_at,timestamp with time zone,YES,NULL
public,analytics_agent_restaurant_summary,9,profile_views_30d,bigint,YES,NULL
public,analytics_agent_restaurant_summary,10,directions_taps_30d,bigint,YES,NULL
public,analytics_agent_restaurant_summary,11,rating_starts_30d,bigint,YES,NULL
public,analytics_agent_restaurant_summary,12,event_rating_completions_30d,bigint,YES,NULL
public,analytics_agent_restaurant_summary,13,shares_30d,bigint,YES,NULL
public,analytics_agent_route_summary,1,route_id,uuid,YES,NULL
public,analytics_agent_route_summary,2,title,text,YES,NULL
public,analytics_agent_route_summary,3,city,text,YES,NULL
public,analytics_agent_route_summary,4,is_public,boolean,YES,NULL
public,analytics_agent_route_summary,5,is_token_route,boolean,YES,NULL
public,analytics_agent_route_summary,6,all_crawls,bigint,YES,NULL
public,analytics_agent_route_summary,7,completed_crawls,bigint,YES,NULL
public,analytics_agent_route_summary,8,last_crawl_at,timestamp with time zone,YES,NULL
public,analytics_agent_route_summary,9,unique_identities_30d,bigint,YES,NULL
public,analytics_agent_route_summary,10,crawl_views_30d,bigint,YES,NULL
public,analytics_agent_route_summary,11,crawl_starts_30d,bigint,YES,NULL
public,analytics_agent_route_summary,12,crawl_completions_30d,bigint,YES,NULL
public,analytics_agent_route_summary,13,ratings_completed_30d,bigint,YES,NULL
public,analytics_crawl_funnel_daily,1,event_date,date,YES,NULL
public,analytics_crawl_funnel_daily,2,crawl_started,bigint,YES,NULL
public,analytics_crawl_funnel_daily,3,crawl_viewed,bigint,YES,NULL
public,analytics_crawl_funnel_daily,4,crawl_resumed,bigint,YES,NULL
public,analytics_crawl_funnel_daily,5,crawl_saved,bigint,YES,NULL
public,analytics_crawl_funnel_daily,6,crawl_completed,bigint,YES,NULL
public,analytics_crawl_funnel_daily,7,crawl_abandoned,bigint,YES,NULL
public,analytics_crawl_funnel_daily,8,crawl_ratings_completed,bigint,YES,NULL
public,analytics_crawl_funnel_daily,9,rough_completion_rate,numeric,YES,NULL
public,analytics_daily_active_users,1,event_date,date,YES,NULL
public,analytics_daily_active_users,2,signed_in_users,bigint,YES,NULL
public,analytics_daily_active_users,3,anonymous_users,bigint,YES,NULL
